capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,13,40,33,67,32,73,24,
28,14,40,24,37,26,39,28,
35,16,40,30,47,34,52,36,
42,19,40,34,52,38,51,43,
49,23,40,42,51,44,56,52,
56,24,40,36,41,37,47,48,
63,25,40,34,43,41,59,52,
70,26,40,32,36,35,39,45,
77,27,40,32,34,33,36,43,
84,28,40,33,36,34,35,41,
91,29,40,33,36,35,36,42,
98,30,40,34,38,36,39,46,
105,31,40,35,39,37,38,45,
112,32,40,36,40,37,38,44,
119,33,40,36,39,37,38,39,
126,33,40,36,36,35,36,34,
133,34,40,36,37,36,36,34,
140,34,40,35,36,35,36,33,
147,36,40,38,39,39,40,43,
154,36,40,37,38,37,38,35,
161,36,40,37,38,38,38,38,
168,36,40,37,37,37,37,31,
175,36,40,37,36,37,37,32,
182,38,40,39,40,40,40,39,
189,39,40,40,41,41,41,41,
196,39,40,40,41,41,41,40,
203,39,40,40,41,41,41,42,
210,39,40,40,41,40,41,43,
217,39,40,39,40,40,40,37,
224,39,40,39,40,40,40,36,
231,39,40,39,40,40,40,39,
238,39,40,39,40,40,40,43,
245,39,40,39,40,40,41,45,
252,39,40,39,40,40,41,43,
259,39,40,39,40,40,39,37,
266,40,40,40,41,41,41,41,
273,40,40,40,41,41,42,45,
280,40,40,40,41,41,41,46,
287,40,40,40,40,40,40,44,
294,40,40,40,40,40,40,42,
301,40,40,40,40,40,40,46,
308,40,40,40,40,40,41,49,
315,40,40,40,40,40,41,47,
322,40,40,40,39,40,40,41,
