capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,13,31,21,45,18,37,20,
28,16,31,22,20,19,21,25,
35,19,31,24,20,21,21,22,
42,22,31,28,26,25,26,30,
49,23,31,30,35,27,28,32,
56,26,31,31,36,29,30,32,
63,26,31,30,31,28,28,27,
70,27,31,30,29,28,28,18,
77,28,31,30,32,30,30,28,
84,28,31,30,31,29,29,22,
91,29,31,31,31,30,30,21,
98,29,31,30,31,30,30,24,
105,30,31,31,32,32,33,35,
112,30,31,31,30,31,31,28,
119,30,31,30,30,30,30,26,
126,30,31,30,30,30,30,24,
133,30,31,30,30,30,30,14,
140,30,31,30,30,30,30,19,
147,30,31,30,30,30,30,23,
154,30,31,30,30,30,30,23,
161,30,31,30,30,30,30,29,
168,31,31,31,31,31,32,35,
175,31,31,31,31,31,32,35,
182,31,31,31,31,31,32,35,
189,31,31,31,31,31,32,34,
196,31,31,31,31,32,33,36,
203,31,31,31,31,32,33,36,
210,31,31,31,31,32,33,36,
217,31,31,31,31,32,33,36,
224,31,31,31,31,32,33,40,
231,31,31,31,31,32,33,40,
238,31,31,31,31,31,31,34,
245,31,31,31,31,31,31,35,
