capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,11,23,16,22,14,17,16,
28,11,23,11,11,11,11,11,
35,12,23,13,12,12,12,11,
42,12,23,12,12,12,12,12,
49,14,23,14,14,14,14,14,
56,16,23,17,18,17,20,22,
63,17,23,17,17,18,17,16,
70,18,23,18,18,18,18,17,
77,19,23,20,21,20,21,22,
84,21,23,22,23,22,23,24,
91,21,23,22,23,23,25,29,
98,21,23,21,23,22,23,24,
105,22,23,22,23,23,23,23,
112,23,23,24,25,25,26,30,
119,23,23,24,25,26,28,32,
126,23,23,23,23,24,24,24,
133,23,23,23,23,23,23,22,
140,23,23,23,23,23,23,19,
147,23,23,23,23,23,23,28,
154,23,23,23,22,23,23,23,
161,23,23,23,22,23,23,24,
168,23,23,23,22,23,23,23,
