capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,0,25,0,0,0,0,0,
28,0,25,0,0,0,0,0,
35,0,25,0,0,0,0,0,
42,0,25,0,0,0,0,0,
49,0,25,0,0,0,0,0,
56,0,25,0,0,0,0,0,
63,0,25,0,0,0,0,0,
70,0,25,0,0,0,0,0,
77,0,25,0,0,0,0,0,
84,3,25,2,0,6,7,10,
91,9,25,20,41,22,41,27,
98,14,25,32,36,27,34,36,
105,16,25,24,24,21,22,27,
112,18,25,23,23,21,22,25,
119,20,25,25,24,23,24,25,
126,22,25,26,27,26,27,32,
133,23,25,26,26,25,26,26,
140,24,25,26,28,28,31,38,
147,25,25,27,27,28,30,37,
154,25,25,26,27,28,30,37,
161,25,25,26,26,27,28,33,
168,25,25,26,27,27,28,33,
175,25,25,25,27,26,26,26,
182,25,25,25,25,26,25,23,
189,25,25,25,25,26,25,23,
196,25,25,25,25,26,26,25,
