capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,8,22,8,20,8,9,10,
28,12,22,15,23,16,21,20,
35,12,22,14,13,13,14,16,
42,13,22,14,13,13,13,12,
49,14,22,15,15,15,16,18,
56,16,22,18,19,19,20,24,
63,17,22,19,23,23,39,31,
70,17,22,18,21,24,35,32,
77,17,22,18,19,20,23,26,
84,18,22,19,20,21,25,27,
91,20,22,21,23,24,26,30,
98,20,22,20,22,22,23,26,
105,20,22,20,22,22,22,25,
112,20,22,20,21,22,24,27,
119,21,22,21,22,23,25,28,
126,22,22,22,23,24,24,27,
133,22,22,22,23,24,24,27,
140,22,22,22,23,24,26,30,
147,22,22,22,22,22,22,22,
154,22,22,22,22,22,22,20,
