capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,14,53,40,26,24,34,24,
28,15,53,26,25,22,27,28,
35,17,53,33,33,28,35,35,
42,19,53,39,40,34,44,42,
49,22,53,50,44,39,47,49,
56,23,53,38,36,33,37,44,
63,26,53,42,41,40,45,52,
70,28,53,43,41,39,42,50,
77,30,53,44,45,42,46,56,
84,33,53,51,52,49,53,64,
91,33,53,48,57,56,72,73,
98,33,53,47,56,56,69,72,
105,33,53,46,58,56,69,73,
112,34,53,48,62,64,84,79,
119,36,53,50,65,69,92,85,
126,36,53,47,60,72,109,85,
133,39,53,53,72,87,133,97,
140,40,53,55,72,88,138,99,
147,41,53,55,71,81,103,96,
154,41,53,52,66,78,97,93,
161,42,53,54,66,74,87,92,
168,42,53,54,66,74,87,92,
175,43,53,54,64,65,72,85,
182,45,53,55,65,65,71,86,
189,46,53,55,61,61,65,80,
196,47,53,56,62,61,64,79,
203,47,53,55,60,59,62,77,
210,47,53,54,61,61,64,79,
217,47,53,53,57,54,55,62,
224,47,53,52,55,52,52,51,
231,47,53,51,53,51,52,52,
238,47,53,50,51,50,51,55,
245,48,53,51,53,52,53,61,
252,49,53,52,53,53,54,64,
259,49,53,52,54,53,54,63,
266,49,53,51,54,54,56,69,
273,49,53,51,52,53,54,66,
280,49,53,51,52,53,54,64,
287,50,53,51,53,54,55,63,
294,50,53,52,53,54,55,62,
301,51,53,53,55,56,58,69,
308,51,53,53,55,55,56,64,
315,51,53,52,55,55,57,67,
322,52,53,54,56,58,61,75,
329,52,53,53,54,54,55,61,
336,52,53,53,54,54,55,60,
343,53,53,54,55,54,55,55,
350,53,53,54,55,54,55,54,
357,53,53,54,55,54,55,53,
364,53,53,54,55,54,55,53,
371,53,53,54,55,54,54,51,
378,53,53,54,55,54,54,53,
385,53,53,53,55,54,54,53,
392,53,53,53,53,53,53,45,
399,53,53,53,53,53,53,38,
406,53,53,53,53,53,53,37,
413,53,53,53,53,53,53,41,
420,53,53,53,53,53,53,43,
