capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,7,23,10,7,8,9,10,
28,7,23,9,11,9,11,12,
35,7,23,10,11,9,11,12,
42,9,23,12,14,11,13,15,
49,9,23,12,13,11,13,15,
56,11,23,18,20,16,19,22,
63,11,23,15,13,12,13,14,
70,14,23,20,18,17,18,20,
77,15,23,19,19,18,19,23,
84,17,23,21,23,20,21,23,
91,18,23,21,21,20,21,23,
98,19,23,22,24,22,24,29,
105,20,23,22,25,23,25,30,
112,21,23,23,24,23,24,25,
119,21,23,22,24,24,25,30,
126,21,23,22,24,24,28,33,
133,22,23,23,24,26,29,34,
140,22,23,23,24,24,25,29,
147,23,23,24,25,24,25,28,
154,23,23,24,25,24,26,31,
161,23,23,23,25,24,26,31,
168,23,23,23,25,24,26,31,
175,23,23,23,25,24,26,31,
