capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,10,39,11,8,10,10,11,
28,12,39,13,12,12,12,13,
35,15,39,18,22,17,18,21,
42,17,39,19,20,18,18,19,
49,18,39,19,21,20,21,23,
56,19,39,20,22,20,21,24,
63,20,39,21,23,21,22,22,
70,22,39,24,28,25,26,28,
77,27,39,31,40,34,37,44,
84,28,39,32,40,38,48,50,
91,28,39,30,35,33,35,40,
98,28,39,30,35,34,36,42,
105,28,39,30,35,34,36,41,
112,28,39,30,35,35,38,43,
119,30,39,32,37,38,42,48,
126,30,39,31,37,36,38,43,
133,30,39,31,37,37,40,45,
140,30,39,31,35,37,40,45,
147,30,39,31,36,37,40,45,
154,32,39,34,42,43,47,52,
161,32,39,34,42,45,52,55,
168,32,39,34,42,45,52,55,
175,33,39,35,42,40,43,49,
182,35,39,37,46,44,47,54,
189,35,39,36,44,41,43,48,
196,37,39,38,44,41,42,43,
203,37,39,38,42,38,38,27,
210,37,39,38,41,38,39,34,
217,37,39,37,39,38,37,28,
224,38,39,38,40,39,39,38,
231,38,39,38,40,39,39,37,
238,38,39,38,40,39,40,40,
245,38,39,38,40,40,40,42,
252,38,39,38,40,39,39,40,
259,38,39,38,40,39,39,40,
266,38,39,38,39,38,38,38,
273,38,39,38,39,38,38,37,
280,39,39,39,40,40,39,38,
287,39,39,39,40,40,39,38,
294,39,39,39,40,40,40,42,
301,39,39,39,40,40,40,41,
308,39,39,39,40,40,40,39,
315,39,39,39,40,40,40,43,
322,39,39,39,40,40,40,43,
329,39,39,39,40,40,40,42,
