capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,11,25,20,13,14,17,17,
28,14,25,20,15,16,17,20,
35,15,25,20,20,18,19,23,
42,15,25,16,15,15,15,13,
49,18,25,20,21,20,21,23,
56,21,25,24,26,25,26,31,
63,22,25,24,25,24,24,26,
70,22,25,23,23,23,23,21,
77,22,25,23,24,23,23,24,
84,23,25,24,23,23,23,17,
91,23,25,24,24,23,23,19,
98,23,25,23,23,23,23,22,
105,23,25,23,23,23,23,16,
112,24,25,24,24,24,24,23,
119,24,25,24,24,24,24,19,
126,24,25,24,24,24,24,22,
133,25,25,25,25,25,25,25,
140,25,25,25,25,25,25,22,
147,25,25,25,25,25,25,25,
154,25,25,25,24,25,25,26,
161,25,25,25,25,25,25,27,
168,25,25,25,25,25,25,27,
175,25,25,25,25,25,25,27,
182,25,25,25,25,25,25,27,
189,25,25,25,25,25,25,27,
196,25,25,25,25,25,25,26,
203,25,25,25,25,25,25,26,
