capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,0,23,0,0,0,0,0,
28,0,23,0,0,0,0,0,
35,2,23,0,0,2,4,6,
42,7,23,0,21,8,13,15,
49,9,23,0,29,14,39,21,
56,11,23,20,26,17,25,24,
63,14,23,26,30,21,28,30,
70,16,23,19,25,20,22,27,
77,17,23,21,27,21,23,27,
84,17,23,18,22,19,19,18,
91,18,23,19,21,19,19,12,
98,18,23,19,22,19,19,16,
105,20,23,22,24,22,22,21,
112,20,23,22,24,21,21,18,
119,20,23,22,24,22,23,26,
126,21,23,23,25,22,23,24,
133,22,23,24,23,22,22,12,
140,22,23,24,23,22,22,16,
147,23,23,24,24,23,23,23,
154,23,23,24,24,23,24,26,
161,23,23,24,24,24,24,29,
168,23,23,24,23,23,23,17,
175,23,23,24,23,23,23,20,
