capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,18,69,45,42,37,55,32,
28,20,69,36,45,36,50,40,
35,24,69,72,64,49,67,53,
42,24,69,80,79,49,66,55,
49,24,69,80,82,49,66,57,
56,24,69,24,82,49,66,58,
63,24,69,24,82,49,66,59,
70,28,69,56,68,46,53,61,
77,32,69,72,70,52,59,69,
84,33,69,67,69,53,60,70,
91,33,69,60,70,56,66,73,
98,33,69,54,64,54,63,72,
105,35,69,57,67,62,79,80,
112,39,69,69,76,75,98,93,
119,41,69,69,72,73,89,93,
126,43,69,63,69,66,75,88,
133,44,69,65,71,70,79,92,
140,45,69,61,68,65,69,84,
147,45,69,59,63,60,63,76,
154,46,69,59,61,57,58,68,
161,49,69,66,69,63,66,78,
168,51,69,72,73,67,69,84,
175,51,69,72,73,67,69,83,
182,52,69,77,76,69,72,87,
189,53,69,80,74,69,72,86,
196,53,69,72,72,68,70,83,
203,53,69,68,69,65,67,78,
210,54,69,65,68,68,71,85,
217,54,69,63,65,65,67,79,
224,56,69,63,67,66,67,75,
231,56,69,62,66,65,66,71,
238,57,69,63,67,67,68,75,
245,58,69,64,66,64,65,61,
252,58,69,64,66,65,66,64,
259,59,69,66,67,64,65,57,
266,59,69,65,66,64,64,57,
273,60,69,65,65,63,63,47,
280,62,69,67,69,67,67,58,
287,63,69,67,70,68,68,59,
294,64,69,68,71,69,70,68,
301,64,69,68,71,69,70,68,
308,64,69,68,71,70,70,72,
315,64,69,67,70,69,69,70,
322,64,69,67,70,69,69,68,
329,65,69,68,72,70,70,69,
336,65,69,68,72,69,69,63,
343,65,69,68,72,69,69,62,
350,65,69,67,72,70,71,77,
357,65,69,67,70,69,69,70,
364,66,69,67,71,70,70,71,
371,67,69,68,72,71,71,72,
378,67,69,68,72,71,71,72,
385,67,69,68,72,71,71,72,
392,67,69,68,72,71,72,75,
399,67,69,68,72,71,71,77,
406,67,69,68,72,71,71,76,
413,67,69,68,72,71,71,76,
420,67,69,68,71,70,70,74,
427,67,69,68,71,70,70,73,
434,68,69,69,72,71,71,74,
441,68,69,69,72,71,71,73,
448,68,69,70,72,71,71,73,
455,68,69,70,72,71,71,73,
462,68,69,69,71,71,71,75,
469,68,69,69,71,72,72,85,
476,68,69,69,71,71,71,82,
483,68,69,69,71,71,71,81,
490,68,69,69,71,71,71,80,
497,68,69,69,71,71,71,80,
504,68,69,69,71,71,71,79,
511,69,69,70,72,70,71,71,
518,69,69,70,72,71,71,73,
525,69,69,69,70,70,70,67,
532,69,69,69,70,70,70,66,
539,69,69,69,70,70,70,73,
546,69,69,69,70,70,70,72,
553,69,69,69,70,70,70,68,
560,69,69,69,70,70,70,68,
