capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,12,34,36,57,30,72,23,
28,15,34,30,22,20,25,27,
35,16,34,24,22,20,24,28,
42,18,34,30,32,27,35,36,
49,22,34,50,34,32,36,42,
56,25,34,52,38,35,39,46,
63,25,34,40,35,33,35,42,
70,26,34,46,36,33,35,41,
77,27,34,45,33,32,34,38,
84,28,34,36,36,33,35,39,
91,28,34,35,33,32,34,40,
98,29,34,35,34,33,34,39,
105,29,34,33,34,33,34,40,
112,30,34,35,35,34,35,40,
119,30,34,34,35,35,37,45,
126,31,34,35,34,34,35,38,
133,31,34,35,34,34,35,41,
140,32,34,36,37,36,38,44,
147,32,34,35,37,36,38,44,
154,32,34,34,34,33,34,32,
161,33,34,35,37,35,36,38,
168,33,34,36,37,35,36,37,
175,33,34,36,37,36,36,40,
182,33,34,35,35,34,34,33,
189,33,34,35,35,34,34,33,
196,33,34,35,35,34,34,31,
203,33,34,35,35,34,35,40,
210,33,34,34,35,34,35,38,
217,33,34,34,35,34,35,36,
224,33,34,34,35,34,35,36,
231,34,34,35,37,37,38,43,
238,34,34,34,36,36,36,36,
245,34,34,34,36,36,36,36,
252,34,34,34,36,36,36,36,
259,34,34,34,36,36,37,38,
266,34,34,34,35,36,38,42,
273,34,34,34,35,37,40,45,
280,34,34,34,35,37,40,45,
