capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,12,38,40,177,28,62,22,
28,18,38,84,75,45,102,39,
35,21,38,48,62,46,70,47,
42,22,38,30,52,52,237,50,
49,23,38,29,45,39,48,47,
56,25,38,30,39,37,44,47,
63,28,38,34,42,42,55,54,
70,29,38,37,42,46,65,57,
77,29,38,33,35,34,36,42,
84,29,38,33,34,33,34,39,
91,30,38,35,35,37,42,48,
98,32,38,37,37,37,39,45,
105,33,38,37,37,37,38,42,
112,33,38,36,37,36,37,39,
119,34,38,37,38,37,38,40,
126,34,38,37,37,36,37,37,
133,35,38,38,40,38,39,40,
140,35,38,38,40,38,39,42,
147,36,38,39,39,38,39,37,
154,36,38,39,39,39,40,42,
161,37,38,40,40,40,41,43,
168,37,38,38,37,37,37,26,
175,38,38,39,38,38,38,29,
182,38,38,39,38,38,38,32,
189,38,38,39,38,38,38,38,
196,38,38,38,38,38,38,35,
203,38,38,38,38,38,38,38,
210,38,38,39,38,38,38,37,
217,38,38,39,38,38,38,39,
224,38,38,38,38,38,39,42,
231,38,38,38,38,39,40,49,
238,38,38,38,38,39,40,49,
245,38,38,38,38,39,40,47,
252,38,38,38,38,39,40,46,
259,38,38,38,38,39,40,46,
266,38,38,38,38,38,38,41,
273,38,38,38,38,38,38,41,
280,38,38,38,38,38,38,41,
287,38,38,38,38,38,38,40,
294,38,38,38,38,38,38,43,
301,38,38,38,38,38,38,40,
