capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,20,69,91,139,80,200,39,
28,21,69,26,67,46,79,45,
35,24,69,40,64,48,67,53,
42,24,69,84,79,48,66,55,
49,24,69,84,82,48,66,57,
56,24,69,24,82,48,66,58,
63,24,69,24,82,48,66,59,
70,27,69,42,54,39,45,53,
77,32,69,72,79,56,66,73,
84,33,69,67,78,57,67,74,
91,34,69,72,83,61,71,78,
98,34,69,58,74,59,69,77,
105,34,69,50,59,47,52,62,
112,38,69,61,69,56,62,74,
119,40,69,62,67,57,62,74,
126,43,69,66,74,63,69,82,
133,43,69,63,70,60,65,77,
140,44,69,59,72,61,66,79,
147,44,69,57,66,57,60,71,
154,44,69,53,58,53,55,61,
161,48,69,59,68,60,62,71,
168,50,69,61,69,61,62,67,
175,50,69,61,69,61,62,67,
182,51,69,64,73,63,66,74,
189,52,69,66,73,65,68,79,
196,52,69,66,70,64,66,75,
203,52,69,61,67,66,69,82,
210,52,69,63,65,62,64,74,
217,53,69,63,66,64,66,78,
224,54,69,63,65,63,65,73,
231,54,69,63,64,61,63,68,
238,55,69,62,67,64,66,75,
245,56,69,63,66,64,65,71,
252,56,69,62,65,63,64,68,
259,57,69,64,65,63,64,65,
266,59,69,67,67,65,66,69,
273,60,69,67,68,65,66,64,
280,61,69,67,69,66,67,70,
287,62,69,68,70,68,69,73,
294,62,69,68,68,67,67,69,
301,62,69,68,68,67,67,69,
308,63,69,69,71,68,69,72,
315,63,69,69,72,69,70,79,
322,64,69,70,72,70,71,77,
329,65,69,71,75,72,73,83,
336,66,69,72,76,74,76,87,
343,67,69,74,78,76,78,90,
350,68,69,74,81,80,83,99,
357,68,69,74,80,80,83,97,
364,69,69,74,81,82,84,98,
371,69,69,74,80,78,78,87,
378,69,69,74,80,78,79,91,
385,69,69,74,80,79,80,94,
392,69,69,74,78,80,82,97,
399,69,69,74,77,77,79,93,
406,69,69,74,78,77,79,93,
413,69,69,74,78,77,79,93,
420,69,69,73,76,76,77,91,
427,69,69,73,76,76,77,91,
434,69,69,72,75,72,73,78,
441,69,69,72,75,72,73,77,
448,69,69,73,75,72,73,77,
455,69,69,73,75,72,73,77,
462,69,69,72,73,72,72,78,
469,69,69,72,73,71,71,75,
476,69,69,71,72,70,70,67,
483,69,69,71,72,70,70,66,
490,69,69,71,72,70,70,67,
497,69,69,71,71,70,70,62,
504,69,69,71,70,69,69,56,
511,69,69,71,70,69,69,54,
518,69,69,71,70,69,69,57,
525,69,69,71,70,69,69,60,
532,69,69,70,70,69,69,59,
539,69,69,70,70,69,69,61,
546,69,69,70,70,69,69,62,
553,69,69,70,70,69,69,64,
560,69,69,70,70,69,69,63,
