capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,10,34,10,38,19,50,19,
28,11,34,10,26,17,31,23,
35,14,34,30,29,22,32,29,
42,16,34,38,37,29,42,37,
49,18,34,36,33,29,38,39,
56,19,34,31,35,30,39,40,
63,21,34,38,39,34,44,45,
70,22,34,35,33,31,38,43,
77,22,34,28,25,24,25,25,
84,23,34,27,25,24,25,19,
91,24,34,28,27,26,26,22,
98,25,34,30,29,27,27,21,
105,25,34,30,28,26,27,21,
112,25,34,29,28,26,26,15,
119,26,34,30,27,26,26,9,
126,27,34,29,30,28,28,21,
133,28,34,31,31,30,30,24,
140,28,34,35,30,29,29,22,
147,28,34,34,29,28,28,15,
154,30,34,37,33,31,31,21,
161,30,34,36,33,31,31,27,
168,31,34,36,33,32,32,25,
175,31,34,34,32,32,32,29,
182,31,34,34,32,32,32,29,
189,33,34,37,35,35,35,36,
196,33,34,38,35,36,37,44,
203,33,34,38,34,35,35,39,
210,33,34,37,34,34,34,37,
217,33,34,37,34,34,34,37,
224,33,34,36,35,34,35,39,
231,33,34,36,35,34,35,39,
238,34,34,38,36,36,37,42,
245,34,34,37,36,35,35,37,
252,34,34,36,36,35,35,36,
259,34,34,36,36,35,35,36,
266,34,34,36,36,35,35,36,
273,34,34,36,36,35,35,36,
