capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,11,24,18,24,15,19,18,
28,12,24,14,22,16,20,21,
35,14,24,22,24,19,22,25,
42,15,24,48,32,26,52,31,
49,16,24,28,25,22,32,30,
56,16,24,21,22,20,30,28,
63,16,24,21,22,20,29,29,
70,16,24,17,18,17,17,16,
77,19,24,21,22,21,23,27,
84,20,24,23,24,22,23,25,
91,20,24,22,22,22,22,25,
98,21,24,22,25,24,25,30,
105,22,24,23,24,24,24,26,
112,22,24,23,24,23,24,27,
119,22,24,23,24,23,24,26,
126,23,24,26,26,25,26,29,
133,24,24,27,27,27,28,33,
140,24,24,26,27,28,30,35,
147,24,24,25,27,26,27,30,
154,24,24,25,25,25,26,28,
161,24,24,25,25,26,27,30,
168,24,24,25,25,25,25,25,
175,24,24,25,24,24,24,15,
