capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,6,48,0,17,7,8,9,
28,8,48,12,18,11,16,14,
35,11,48,36,29,19,27,24,
42,15,48,36,29,23,27,30,
49,17,48,44,44,32,43,39,
56,19,48,55,63,40,54,46,
63,22,48,71,46,34,38,45,
70,25,48,65,45,36,39,46,
77,29,48,85,55,43,47,55,
84,29,48,46,45,37,39,44,
91,31,48,46,49,40,42,49,
98,32,48,46,52,40,42,48,
105,34,48,50,54,43,45,50,
112,34,48,48,48,41,42,46,
119,36,48,50,53,43,45,48,
126,37,48,50,50,43,44,44,
133,37,48,50,47,42,42,40,
140,37,48,44,44,40,40,32,
147,37,48,44,44,39,39,25,
154,39,48,51,48,42,42,28,
161,41,48,55,53,45,45,35,
168,41,48,49,50,44,44,30,
175,41,48,48,48,43,43,30,
182,42,48,48,50,44,44,28,
189,42,48,47,48,43,43,24,
196,42,48,45,46,43,43,25,
203,42,48,45,45,43,43,21,
210,43,48,46,46,44,43,13,
217,43,48,46,46,44,43,18,
224,43,48,46,46,44,43,28,
231,43,48,46,46,44,43,29,
238,43,48,46,46,44,44,32,
245,44,48,47,47,45,44,29,
252,44,48,48,47,45,44,29,
259,44,48,47,47,45,45,32,
266,44,48,47,47,45,45,35,
273,44,48,47,45,44,44,28,
280,45,48,48,46,45,45,29,
287,46,48,48,49,47,47,39,
294,46,48,48,47,47,46,37,
301,46,48,47,47,47,46,40,
308,46,48,47,47,46,46,34,
315,47,48,48,48,48,47,37,
322,47,48,48,48,48,48,44,
329,47,48,48,48,48,48,47,
336,47,48,48,48,48,48,47,
343,47,48,48,48,48,48,51,
350,47,48,48,48,48,48,50,
357,47,48,48,48,48,48,49,
364,47,48,48,48,48,48,53,
371,48,48,49,50,50,50,56,
378,48,48,49,50,50,50,56,
385,48,48,49,50,50,50,56,
392,48,48,49,50,50,50,56,
399,48,48,48,49,49,49,54,
406,48,48,48,49,49,49,54,
413,48,48,48,49,49,49,53,
420,48,48,48,49,49,50,57,
427,48,48,48,49,49,50,55,
