capture,detectedBugNum,totalBugNum,M0,Mth,MtCH,MhCH,MhJK
21,8,36,15,0,29,40,16,
28,13,36,48,36,28,43,28,
35,15,36,26,21,20,23,27,
42,16,36,20,24,21,24,28,
49,19,36,28,35,31,39,40,
56,21,36,37,30,29,36,39,
63,24,36,42,35,34,38,45,
70,26,36,56,38,36,40,47,
77,26,36,48,38,38,43,50,
84,28,36,47,40,37,40,48,
91,29,36,46,44,46,58,60,
98,30,36,48,45,46,57,61,
105,30,36,44,43,42,48,56,
112,30,36,36,42,42,49,56,
119,31,36,38,43,43,50,57,
126,32,36,39,45,46,52,60,
133,33,36,40,43,42,45,53,
140,33,36,40,43,44,47,56,
147,34,36,42,46,46,51,60,
154,34,36,38,45,44,46,55,
161,34,36,37,41,38,39,43,
168,35,36,38,44,41,42,49,
175,35,36,38,42,41,42,48,
182,35,36,37,43,43,45,55,
189,35,36,37,40,38,39,41,
196,35,36,37,40,38,39,45,
203,35,36,36,38,38,38,42,
210,35,36,37,38,38,39,43,
217,35,36,36,38,37,37,37,
224,35,36,36,38,37,38,39,
231,35,36,36,38,38,38,42,
238,36,36,37,39,38,39,40,
245,36,36,37,39,38,39,40,
252,36,36,36,39,38,39,40,
259,36,36,36,39,38,39,40,
266,36,36,36,39,38,39,39,
273,36,36,36,37,37,37,34,
280,36,36,36,37,37,38,37,
287,36,36,36,38,37,38,37,
