project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal
101-120-今日时尚测试_1463737561.csv,17.0,17.0,1.0,80.0,120.0,0.6666666666666666,0.33333333333333337,0.5,0.5,73.0,7.0,
72-213-花友测试_1463737504.csv,25.0,26.0,0.9615384615384616,100.0,213.0,0.4694835680751174,0.5305164319248826,0.6837710274718625,0.6837710274718625,104.0,-4.0,
451-109-bug掌上110V1.0.0测试_1470654321.csv,14.0,15.0,0.9333333333333333,88.0,109.0,0.8073394495412844,0.19266055045871555,0.31939163498098855,0.31939163498098855,93.0,-5.0,
509-176-bug红猩猩V1.2测试_1470654287.csv,13.0,24.0,0.5416666666666666,80.0,176.0,0.45454545454545453,0.5454545454545454,0.5435540069686411,0.5435540069686411,125.0,-45.0,
143-127-荔枝FM测试_1463737709.csv,15.0,18.0,0.8333333333333334,88.0,127.0,0.6929133858267716,0.30708661417322836,0.44879171461449946,0.44879171461449946,103.0,-15.0,
174-330-易试驾测试_1463737832.csv,38.0,39.0,0.9743589743589743,247.0,330.0,0.7484848484848485,0.25151515151515147,0.399822526462572,0.399822526462572,278.0,-31.0,
234-175-bugJiuJiu测试_1470654480.csv,21.0,23.0,0.9130434782608695,100.0,175.0,0.5714285714285714,0.4285714285714286,0.5833333333333334,0.5833333333333334,121.0,-21.0,
322-129-bug有薪快访测试_1470654415.csv,10.0,10.0,1.0,60.0,129.0,0.46511627906976744,0.5348837209302326,0.696969696969697,0.696969696969697,36.0,24.0,
499-130-bug陶世界V1.0.1测试_1470654291.csv,17.0,18.0,0.9444444444444444,57.0,130.0,0.43846153846153846,0.5615384615384615,0.7043132803632236,0.7043132803632236,62.0,-5.0,
449-101-bug湘梦购商家V1.1.1测试_1470654326.csv,14.0,14.0,1.0,60.0,101.0,0.594059405940594,0.40594059405940597,0.5774647887323945,0.5774647887323945,44.0,16.0,
