project,bugsDetected,totalBugs,percentBugsDetected,reportsSubmit,totalReports,percentReportsSubmit,percentSavedEffort,F1,E1,optimalReportsSubmit,differenceWithOptimal
101-120-今日时尚测试_1463737561.csv,17.0,17.0,1.0,99.0,120.0,0.825,0.17500000000000004,0.29787234042553196,0.29787234042553196,73.0,26.0,
72-213-花友测试_1463737504.csv,24.0,26.0,0.9230769230769231,90.0,213.0,0.4225352112676056,0.5774647887323944,0.7104693140794225,0.7104693140794225,104.0,-14.0,
451-109-bug掌上110V1.0.0测试_1470654321.csv,14.0,15.0,0.9333333333333333,81.0,109.0,0.7431192660550459,0.25688073394495414,0.4028776978417266,0.4028776978417266,93.0,-12.0,
509-176-bug红猩猩V1.2测试_1470654287.csv,24.0,24.0,1.0,144.0,176.0,0.8181818181818182,0.18181818181818177,0.30769230769230765,0.30769230769230765,125.0,19.0,
143-127-荔枝FM测试_1463737709.csv,15.0,18.0,0.8333333333333334,90.0,127.0,0.7086614173228346,0.2913385826771654,0.4317386231038507,0.4317386231038507,103.0,-13.0,
174-330-易试驾测试_1463737832.csv,28.0,39.0,0.717948717948718,98.0,330.0,0.296969696969697,0.703030303030303,0.710411198600175,0.710411198600175,278.0,-180.0,
234-175-bugJiuJiu测试_1470654480.csv,20.0,23.0,0.8695652173913043,90.0,175.0,0.5142857142857142,0.48571428571428577,0.623281393217232,0.623281393217232,121.0,-31.0,
322-129-bug有薪快访测试_1470654415.csv,9.0,10.0,0.9,35.0,129.0,0.2713178294573643,0.7286821705426356,0.8053307948595908,0.8053307948595908,36.0,-1.0,
499-130-bug陶世界V1.0.1测试_1470654291.csv,18.0,18.0,1.0,81.0,130.0,0.6230769230769231,0.3769230769230769,0.547486033519553,0.547486033519553,62.0,19.0,
449-101-bug湘梦购商家V1.1.1测试_1470654326.csv,14.0,14.0,1.0,63.0,101.0,0.6237623762376238,0.37623762376237624,0.5467625899280576,0.5467625899280576,44.0,19.0,
128-115-蛋蛋赚测试_1463737676.csv,7.0,14.0,0.5,36.0,115.0,0.3130434782608696,0.6869565217391305,0.5787545787545788,0.5787545787545788,102.0,-66.0,
442-124-bug上海三农热线V1.0测试_1470654332.csv,14.0,16.0,0.875,72.0,124.0,0.5806451612903226,0.4193548387096774,0.5669781931464173,0.5669781931464173,76.0,-4.0,
311-185-bug社区慧生活测试_1470654424.csv,25.0,25.0,1.0,117.0,185.0,0.6324324324324324,0.3675675675675676,0.5375494071146245,0.5375494071146245,95.0,22.0,
217-288-bug大帮汇测试_1470654530.csv,26.0,36.0,0.7222222222222222,77.0,288.0,0.2673611111111111,0.7326388888888888,0.7273932643861044,0.7273932643861044,233.0,-156.0,
124-326-衣批测试_1463737628.csv,34.0,40.0,0.85,140.0,326.0,0.4294478527607362,0.5705521472392638,0.6827898941913194,0.6827898941913194,238.0,-98.0,
284-184-bug海捣网测试_1470654451.csv,25.0,26.0,0.9615384615384616,117.0,184.0,0.6358695652173914,0.36413043478260865,0.5282245348470515,0.5282245348470515,123.0,-6.0,
218-103-bug恶龙公主—逆塔防测试_1470654523.csv,12.0,14.0,0.8571428571428571,45.0,103.0,0.4368932038834951,0.5631067961165048,0.6796875,0.6796875,78.0,-33.0,
382-101-bug出游宝V0.9.2测试_1470654358.csv,12.0,12.0,1.0,99.0,101.0,0.9801980198019802,0.01980198019801982,0.03883495145631071,0.03883495145631071,85.0,14.0,
204-101-文件管理测试_1463737945.csv,14.0,14.0,1.0,72.0,101.0,0.7128712871287128,0.28712871287128716,0.4461538461538462,0.4461538461538462,47.0,25.0,
6-144-百度天眼测试反馈_1463737257.csv,1.0,13.0,0.07692307692307693,36.0,144.0,0.25,0.75,0.13953488372093026,0.13953488372093026,120.0,-84.0,
