rank,index,type,%bugs,%effort,F1,y=0.9,y=0.3,
1,5,3-1,0.84,0.5420094007050529,0.4766438079870916,0.9,0.3,
2,9,4-1,0.875,0.5062697761631314,0.5028083707298443,0.9,0.3,
3,13,5-1,0.8786764705882353,0.49198107410593583,0.5279074758278279,0.9,0.3,
4,17,6-1,0.8823529411764706,0.45091392489199067,0.5290210555438557,0.9,0.3,
5,21,7-1,0.8908730158730158,0.4354838709677419,0.49562893595162383,0.9,0.3,
6,1,10-1,0.90625,0.41538461538461535,0.49831295079475013,0.9,0.3,
7,29,9-1,0.9183333333333333,0.4,0.5068404299656509,0.9,0.3,
8,25,8-1,0.9285714285714286,0.3893129770992366,0.4996217851739788,0.9,0.3,
9,6,3-2,0.9402852049910874,0.3982300884955752,0.49881330678656666,0.9,0.3,
10,15,5-3,0.9444444444444444,0.25681204484084774,0.39503947742969725,0.9,0.3,
11,7,3-3,0.9473684210526315,0.3557046979865772,0.4956521083030584,0.9,0.3,
12,10,4-2,0.9473684210526315,0.3513330907956967,0.4618768328445748,0.9,0.3,
13,11,4-3,0.9486842105263158,0.29781894934333963,0.42643781491748534,0.9,0.3,
14,8,3-4,0.9565217391304348,0.2585056390977443,0.3885655597398151,0.9,0.3,
15,14,5-2,0.9565217391304348,0.27656326664122555,0.4204478746134543,0.9,0.3,
16,4,10-4,0.9629629629629629,0.036590807675145054,0.07040664089609189,0.9,0.3,
17,18,6-2,0.9636243386243386,0.22352941176470587,0.3623753792804508,0.9,0.3,
18,32,9-4,0.9654761904761905,0.04424778761061943,0.08474576271186433,0.9,0.3,
19,19,6-3,0.9672043010752689,0.17407553107789142,0.2965182648401826,0.9,0.3,
20,3,10-3,0.9701426024955437,0.05982905982905984,0.11266628943891013,0.9,0.3,
21,12,4-4,0.9701426024955437,0.18789359184763943,0.3130686281357504,0.9,0.3,
22,22,7-2,0.9710084033613445,0.17647058823529416,0.281687471871521,0.9,0.3,
23,31,9-3,0.9725975975975976,0.0844474153297683,0.15474987517031852,0.9,0.3,
24,23,7-3,0.9743589743589743,0.1531292862108487,0.25923852183650614,0.9,0.3,
25,20,6-4,0.9746469833119384,0.07692307692307687,0.14225486857680264,0.9,0.3,
26,2,10-2,0.9764673311184939,0.09090909090909094,0.16666666666666674,0.9,0.3,
27,27,8-3,0.9764673311184939,0.10468635841770169,0.18953130345535404,0.9,0.3,
28,16,5-4,0.9771794871794872,0.12878787878787878,0.22818791946308722,0.9,0.3,
29,26,8-2,0.9795833333333333,0.15097881469562885,0.2623481781376518,0.9,0.3,
30,24,7-4,0.994949494949495,0.05405405405405406,0.10256410256410257,0.9,0.3,
31,28,8-4,1.0,0.04674530362603757,0.08931419457735247,0.9,0.3,
32,30,9-2,1.0,0.12526895827866702,0.22264588859416445,0.9,0.3,
